lng,lat,distance,time
105.004269093,28.1527228251,152165,11503
105.004268137,28.1727242487,153484,11789
105.004267181,28.1927253182,148538,11893
105.004266224,28.2127260097,149772,12172
105.004265267,28.2327263004,159298,11157
105.004264308,28.2527261689,155822,11352
105.004263349,28.2727255949,143498,9631
105.00426239,28.2927245595,139122,8860
105.02422018,27.312614349,183459,13557
105.024219238,27.3326105858,184814,13819
105.024218295,27.3526070956,186715,14168
105.024217351,27.3726038923,189714,14672
105.024216407,27.3926009883,193262,15267
105.024215462,27.4125983943,91650,10777
105.024214516,27.4325961194,88321,10564
105.024213569,27.4525941708,86872,10312
105.024212622,27.4725925539,90721,10375
105.024211674,27.4925912724,84618,9517
105.024210726,27.5125903283,80290,9135
105.024209776,27.5325897214,82472,9808
105.024208826,27.5525894499,86261,10283
105.024207875,27.5725895104,82950,9938
105.024206924,27.5925898973,88103,9482
105.024205972,27.6125906034,85022,8966
105.024205019,27.6325916197,82346,8778
105.024204065,27.6525929356,77575,8626
105.024203111,27.6725945388,77810,8876
105.024202156,27.6925964151,74885,8507
105.0242012,27.7125985492,79559,9612
105.024200244,27.7326009238,86490,8804
105.024199286,27.7526035206,80760,7898
105.024198328,27.7726063197,77144,7607
105.02419737,27.7926092999,76417,7608
105.02419641,27.8126124388,73938,7237
105.02419545,27.8326157131,68529,6650
105.02419449,27.8526190983,67062,6492
105.024193528,27.8726225691,83430,13357
105.024192566,27.8926260991,83369,8043
105.024191603,27.9126296617,84104,9061
105.024190639,27.9326332292,84882,8642
105.024189675,27.9526367737,85931,8609
105.02418871,27.9726402669,88044,8586
105.024187744,27.9926436802,96326,9826
105.024186777,28.0126469849,94882,9194
105.02418581,28.0326501523,100805,9625
105.024184842,28.0526531536,103908,9907
105.024183873,28.0726559604,177675,14451
105.024182904,28.0926585447,179121,14761
105.024181933,28.1126608788,174193,14649
105.024180963,28.1326629355,170050,13282
105.024179991,28.1526646884,149672,11226
105.024179018,28.1726661119,152284,11644
105.024178045,28.1926671811,144491,11130
105.024177071,28.2126678724,154463,10885
105.024176097,28.2326681629,154730,10804
105.024175122,28.2526680313,155718,11859
105.024174145,28.2726674571,146047,11198
105.024173169,28.2926664215,137345,8557
105.044141499,27.3125648879,182581,13507
105.044140542,27.3325611245,181874,13693
105.044139585,27.352557634,186906,14180
105.044138626,27.3725544305,192032,15327
105.044137667,27.3925515263,192856,15527
