ox,oy,dx,dy,distance,time
114.075031,32.123274,113.835031,32.183274,36002,3467
114.075031,32.123274,113.835031,32.203274,33393,3245
114.075031,32.123274,113.835031,32.223274,38600,2951
114.075031,32.123274,113.835031,32.243274,36312,2787
114.075031,32.123274,113.835031,32.263274,34165,2654
114.075031,32.123274,113.835031,32.283274,32909,2586
114.075031,32.123274,113.835031,32.303274,35240,2870
114.075031,32.123274,113.835031,32.323274,38200,3196
114.075031,32.123274,113.835031,32.343274,41793,3407
114.075031,32.123274,113.835031,32.363274,47591,3868
114.075031,32.123274,113.835031,32.383274,48311,3866
114.075031,32.123274,113.835031,32.403274,49379,4121
114.075031,32.123274,113.835031,32.423274,47674,3677
114.075031,32.123274,113.855031,31.843274,51478,4459
114.075031,32.123274,113.855031,31.863274,50392,4438
114.075031,32.123274,113.855031,31.883274,52431,5235
114.075031,32.123274,113.855031,31.903274,42903,3591
114.075031,32.123274,113.855031,31.923274,43275,4089
114.075031,32.123274,113.855031,31.943274,54984,5051
114.075031,32.123274,113.855031,31.963274,54484,4928
114.075031,32.123274,113.855031,31.983274,51999,4608
114.075031,32.123274,113.855031,32.003274,49677,4411
114.075031,32.123274,113.855031,32.023274,48528,4167
114.075031,32.123274,113.855031,32.043274,47362,4060
114.075031,32.123274,113.855031,32.063274,40214,3826
114.075031,32.123274,113.855031,32.083274,36560,3378
114.075031,32.123274,113.855031,32.103274,31094,2861
114.075031,32.123274,113.855031,32.123274,29861,2621
114.075031,32.123274,113.855031,32.143274,28216,2521
114.075031,32.123274,113.855031,32.163274,25247,2177
114.075031,32.123274,113.855031,32.183274,29842,2624
114.075031,32.123274,113.855031,32.203274,31708,3289
114.075031,32.123274,113.855031,32.223274,31094,2405
114.075031,32.123274,113.855031,32.243274,28866,2239
114.075031,32.123274,113.855031,32.263274,29709,3939
114.075031,32.123274,113.855031,32.283274,33783,2532
114.075031,32.123274,113.855031,32.303274,35766,3030
114.075031,32.123274,113.855031,32.323274,37680,3092
114.075031,32.123274,113.855031,32.343274,41559,3662
114.075031,32.123274,113.855031,32.363274,45320,3683
114.075031,32.123274,113.855031,32.383274,46711,3851
114.075031,32.123274,113.855031,32.403274,46154,3579
114.075031,32.123274,113.855031,32.423274,46779,3441
114.075031,32.123274,113.875031,31.843274,47046,3917
114.075031,32.123274,113.875031,31.863274,44024,3613
114.075031,32.123274,113.875031,31.883274,42892,3554
114.075031,32.123274,113.875031,31.903274,42852,3584
114.075031,32.123274,113.875031,31.923274,43275,4089
114.075031,32.123274,113.875031,31.943274,44712,4593
114.075031,32.123274,113.875031,31.963274,43406,4065
114.075031,32.123274,113.875031,31.983274,42557,3829
114.075031,32.123274,113.875031,32.003274,44587,4084
114.075031,32.123274,113.875031,32.023274,46604,3970
114.075031,32.123274,113.875031,32.043274,45161,3740
