ox,oy,dx,dy,distance,time
105.427217,27.789296,104.967217,27.569296,93246,11370
105.427217,27.789296,104.967217,27.589296,93165,10663
105.427217,27.789296,104.967217,27.609296,90175,10404
105.427217,27.789296,104.967217,27.629296,87219,10002
105.427217,27.789296,104.967217,27.649296,85160,9702
105.427217,27.789296,104.967217,27.669296,84137,9628
105.427217,27.789296,104.967217,27.689296,82222,9280
105.427217,27.789296,104.967217,27.709296,82721,9389
105.427217,27.789296,104.967217,27.729296,89088,8928
105.427217,27.789296,104.967217,27.749296,87047,8552
105.427217,27.789296,104.967217,27.769296,86550,8730
105.427217,27.789296,104.967217,27.789296,76812,7375
105.427217,27.789296,104.967217,27.809296,76942,7318
105.427217,27.789296,104.967217,27.829296,77853,7925
105.427217,27.789296,104.967217,27.849296,79151,11202
105.427217,27.789296,104.967217,27.869296,81240,8251
105.427217,27.789296,104.967217,27.889296,95395,10061
105.427217,27.789296,104.967217,27.909296,97688,10443
105.427217,27.789296,104.967217,27.929296,98545,10376
105.427217,27.789296,104.967217,27.949296,93806,10370
105.427217,27.789296,104.967217,27.969296,97466,11090
105.427217,27.789296,104.967217,27.989296,104048,10445
105.427217,27.789296,104.967217,28.009296,104498,10397
105.427217,27.789296,104.967217,28.029296,104548,10387
105.427217,27.789296,104.967217,28.049296,114435,11463
105.427217,27.789296,104.967217,28.069296,118398,12033
105.427217,27.789296,104.967217,28.089296,168558,13432
105.427217,27.789296,104.967217,28.109296,165395,12827
105.427217,27.789296,104.967217,28.129296,160235,12366
105.427217,27.789296,104.967217,28.149296,157684,12014
105.427217,27.789296,104.967217,28.169296,162625,12721
105.427217,27.789296,104.967217,28.189296,166897,13211
105.427217,27.789296,104.967217,28.209296,163456,11498
105.427217,27.789296,104.967217,28.229296,161877,11726
105.427217,27.789296,104.967217,28.249296,164525,11577
105.427217,27.789296,104.967217,28.269296,158082,11629
105.427217,27.789296,104.967217,28.289296,149843,10142
105.427217,27.789296,104.987217,27.309296,203653,16375
105.427217,27.789296,104.987217,27.329296,192075,14775
105.427217,27.789296,104.987217,27.349296,195006,15129
105.427217,27.789296,104.987217,27.369296,197267,15669
105.427217,27.789296,104.987217,27.389296,195649,15631
105.427217,27.789296,104.987217,27.409296,198651,15522
105.427217,27.789296,104.987217,27.429296,200589,15737
105.427217,27.789296,104.987217,27.449296,203881,16017
105.427217,27.789296,104.987217,27.469296,91074,10339
105.427217,27.789296,104.987217,27.489296,85546,9698
105.427217,27.789296,104.987217,27.509296,96525,13625
105.427217,27.789296,104.987217,27.529296,88009,10460
105.427217,27.789296,104.987217,27.549296,90603,10839
105.427217,27.789296,104.987217,27.569296,91218,11815
105.427217,27.789296,104.987217,27.589296,93793,10547
105.427217,27.789296,104.987217,27.609296,91689,10541
105.427217,27.789296,104.987217,27.629296,91298,10274
105.427217,27.789296,104.987217,27.649296,83578,9527
105.427217,27.789296,104.987217,27.669296,80781,9118
105.427217,27.789296,104.987217,27.689296,79233,8862
105.427217,27.789296,104.987217,27.709296,93911,9524
105.427217,27.789296,104.987217,27.729296,90819,9454
105.427217,27.789296,104.987217,27.749296,88912,8935
105.427217,27.789296,104.987217,27.769296,89717,9062
105.427217,27.789296,104.987217,27.789296,76244,7706
105.427217,27.789296,104.987217,27.809296,73540,7091
105.427217,27.789296,104.987217,27.829296,73718,7395
105.427217,27.789296,104.987217,27.849296,76450,7471
105.427217,27.789296,104.987217,27.869296,85630,10747
105.427217,27.789296,104.987217,27.889296,87885,8930
105.427217,27.789296,104.987217,27.909296,94523,9912
105.427217,27.789296,104.987217,27.929296,99685,10799
105.427217,27.789296,104.987217,27.949296,94018,10399
105.427217,27.789296,104.987217,27.969296,92186,10178
105.427217,27.789296,104.987217,27.989296,98798,10044
105.427217,27.789296,104.987217,28.009296,98618,9979
105.427217,27.789296,104.987217,28.029296,103680,10737
105.427217,27.789296,104.987217,28.049296,111581,10987
105.427217,27.789296,104.987217,28.069296,174371,14070
105.427217,27.789296,104.987217,28.089296,170932,13907
105.427217,27.789296,104.987217,28.109296,167971,13070
105.427217,27.789296,104.987217,28.129296,155964,11954
105.427217,27.789296,104.987217,28.149296,156992,11992
105.427217,27.789296,104.987217,28.169296,166143,13157
105.427217,27.789296,104.987217,28.189296,163317,11685
105.427217,27.789296,104.987217,28.209296,160731,11269
105.427217,27.789296,104.987217,28.229296,161966,11349
105.427217,27.789296,104.987217,28.249296,161387,11387
105.427217,27.789296,104.987217,28.269296,142185,9628
105.427217,27.789296,104.987217,28.289296,146034,9390
105.427217,27.789296,105.007217,27.309296,193001,14842
105.427217,27.789296,105.007217,27.329296,189909,14543
105.427217,27.789296,105.007217,27.349296,190222,14678
105.427217,27.789296,105.007217,27.369296,189741,14682
105.427217,27.789296,105.007217,27.389296,193428,15193
105.427217,27.789296,105.007217,27.409296,91773,10865
105.427217,27.789296,105.007217,27.429296,203226,16183
105.427217,27.789296,105.007217,27.449296,204259,16041
105.427217,27.789296,105.007217,27.469296,92865,11020
105.427217,27.789296,105.007217,27.489296,87221,9805
105.427217,27.789296,105.007217,27.509296,82385,9405
105.427217,27.789296,105.007217,27.529296,86100,10231
105.427217,27.789296,105.007217,27.549296,87615,10428
105.427217,27.789296,105.007217,27.569296,87960,11163
105.427217,27.789296,105.007217,27.589296,92118,10328
105.427217,27.789296,105.007217,27.609296,86632,9067
105.427217,27.789296,105.007217,27.629296,87130,9968
105.427217,27.789296,105.007217,27.649296,86325,9163
105.427217,27.789296,105.007217,27.669296,78748,8943
105.427217,27.789296,105.007217,27.689296,76830,8662
105.427217,27.789296,105.007217,27.709296,80198,9076
105.427217,27.789296,105.007217,27.729296,85768,8582
105.427217,27.789296,105.007217,27.749296,87699,8820
105.427217,27.789296,105.007217,27.769296,79814,8134
105.427217,27.789296,105.007217,27.789296,73455,7079
